City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
107,Kloulklubed,PW,78.8,7.0419,134.2556,Storyboard Beach Resort
108,Gamba,GA,76.66,-2.65,10.0,
109,La Plata,AR,69.01,-34.9215,-57.9545,Hotel Corregidor
116,Cockburn Town,TC,78.13,21.4612,-71.1419,Osprey Beach Hotel
117,Carnarvon,AU,87.8,-24.8667,113.6333,Hospitality Carnarvon
118,Kruisfontein,ZA,68.0,-34.0033,24.7314,Oyster Bay House Rental
121,Manokwari,ID,84.02,-0.8667,134.0833,Swiss Belhotel Manokwari
122,Victoria Point,AU,86.0,-27.5833,153.3,Bay Retreat Motel
125,Ribeira Grande,PT,62.56,38.5167,-28.7,Quinta da Meia Eira
127,Hithadhoo,MV,80.69,-0.6,73.0833,Scoop Guest House
129,Flic En Flac,MU,81.0,-20.2742,57.3631,Hilton Mauritius Resort & Spa
132,Kalabo,ZM,67.68,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
133,Betare Oya,CM,64.51,5.6,14.0833,Auberge Tembina Betaré Oya
136,Chuy,UY,61.86,-33.6971,-53.4616,Nuevo Hotel Plaza
137,Lorengau,PG,85.82,-2.0226,147.2712,Lorengau Harbourside Hotel
139,Daru,PG,86.61,-9.0763,143.2092,Daru Lodge
141,Cidreira,BR,72.97,-30.1811,-50.2056,Hotel Castelo
145,Yulara,AU,86.0,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
147,Payo,ID,73.24,-3.7508,103.6372,Mess keban agung
148,Bengkulu,ID,79.52,-3.8004,102.2655,Grage Hotel Bengkulu
149,Kasungu,MW,66.29,-13.0333,33.4833,Mame Motel
151,Udalguri,IN,66.54,26.7667,92.1333,"Army Camp, Golandi"
152,Antalaha,MG,76.01,-14.9003,50.2788,Hotel Vitasoa
153,Vila Velha,BR,77.0,-20.3297,-40.2925,Hotel Vitória Palace
154,Codrington,AU,63.03,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
155,Tondano,ID,84.2,1.3038,124.9112,Villa Bella
159,Praia Da Vitoria,PT,61.0,38.7333,-27.0667,Hotel Branco I
167,Saldanha,ZA,62.6,-33.0117,17.9442,Blue Bay Lodge
168,Marsh Harbour,BS,66.65,26.5412,-77.0636,Abaco Beach Resort
169,Alofi,NU,87.8,-19.0595,-169.9187,Taloa Heights
170,Naifaru,MV,81.32,5.4444,73.3657,Naifaru Residence Guest House
173,San Patricio,US,60.8,28.017,-97.5169,"Motel 6 Sinton, TX"
174,Lompoc,US,62.01,34.6391,-120.4579,Holiday Inn Express Lompoc
175,Rodrigues Alves,BR,74.62,-7.7379999999999995,-72.6509,Pousada Aconchego
177,Manaure,CO,77.81,11.7751,-72.4445,Hotel Palaaima
180,Presidencia Roque Saenz Pena,AR,69.01,-26.7852,-60.4388,Hotel Gualok
186,Hermanus,ZA,66.0,-34.4187,19.2345,Misty Waves Boutique Hotel
188,Nhulunbuy,AU,80.6,-12.2333,136.7667,East Arnhem Real Estate
189,Kilindoni,TZ,81.0,-7.9139,39.6668,Bustani B&B
