City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
411,Hualmay,-11.0964,-77.6139,70.25,84,100,3.83,PE,2021-01-16 02:05:40
412,Morrope,-6.5417,-80.0111,72.91,74,100,8.12,PE,2021-01-16 02:05:40
413,Catu,-12.3531,-38.3789,77.0,88,75,2.3,BR,2021-01-16 02:00:41
414,Araouane,18.9048,-3.5265,59.36,27,73,15.05,ML,2021-01-16 02:05:40
415,Nemuro,43.3236,145.575,33.8,100,75,4.61,JP,2021-01-16 02:05:40
416,Labuhan,-6.8844,112.2051,80.76,78,99,4.88,ID,2021-01-16 02:05:40
417,Yeppoon,-23.1333,150.7333,91.4,40,26,6.91,AU,2021-01-16 02:05:41
418,Salalah,17.0151,54.0924,73.4,17,0,11.5,OM,2021-01-16 02:03:47
419,Port Blair,11.6667,92.75,79.18,72,11,11.61,IN,2021-01-16 02:05:41
420,Mundo Nuevo,18.7,-95.5,72.09,82,100,16.84,MX,2021-01-16 02:05:41
421,San Quintin,30.4833,-115.95,65.97,37,0,1.23,MX,2021-01-16 02:05:41
422,North Vanlaiphai,23.1333,93.0667,47.86,76,9,1.7,IN,2021-01-16 02:05:41
423,Saint Anthony,45.0205,-93.218,35.01,93,90,10.36,US,2021-01-16 02:05:42
424,Yubari,43.0378,141.9578,42.8,61,20,28.77,JP,2021-01-16 02:05:42
425,Virginia Beach,36.8529,-75.978,53.01,71,90,5.1,US,2021-01-16 02:04:24
426,Ko Samui,9.5357,99.9357,80.6,74,20,5.75,TH,2021-01-16 02:05:42
427,Umm Kaddadah,13.6017,26.6876,58.32,34,0,12.93,SD,2021-01-16 02:05:42
428,Vardo,70.3705,31.1107,34.45,95,100,16.31,NO,2021-01-16 02:05:43
429,Coro,11.4045,-69.6734,75.49,85,83,11.68,VE,2021-01-16 02:05:43
430,Geraldton,-28.7667,114.6,91.4,31,0,32.21,AU,2021-01-16 02:05:43
431,Saurimo,-9.6608,20.3916,62.98,96,100,2.62,AO,2021-01-16 02:05:43
432,Tilichiki,60.4667,166.1,-24.14,85,0,5.26,RU,2021-01-16 02:05:44
433,Saint-Francois,46.4154,3.9054,32.0,69,90,5.75,FR,2021-01-16 02:05:44
434,Sao Joao Batista,-27.2761,-48.8494,78.01,98,53,1.39,BR,2021-01-16 02:05:44
435,Namatanai,-3.6667,152.4333,83.59,74,100,7.07,PG,2021-01-16 02:05:44
436,Managua,12.1328,-86.2504,78.8,78,20,4.61,NI,2021-01-16 02:05:44
437,Birjand,32.8663,59.2211,28.4,24,0,4.61,IR,2021-01-16 02:05:45
438,Lianran,24.9227,102.485,46.0,93,75,4.47,CN,2021-01-16 02:05:45
439,Bogande,12.9714,-0.1436,67.12,23,70,7.67,BF,2021-01-16 02:05:45
440,Urumqi,43.801,87.6005,-11.2,77,20,2.24,CN,2021-01-16 02:02:07
441,Auki,-8.7676,160.7034,83.32,77,100,6.15,SB,2021-01-16 02:05:46
442,Olafsvik,64.8945,-23.7142,34.92,94,100,16.49,IS,2021-01-16 02:05:46
443,Amazar,53.858,120.875,-14.89,82,100,2.59,RU,2021-01-16 02:05:46
444,Vaitape,-16.5167,-151.75,81.61,75,0,13.6,PF,2021-01-16 02:05:46
445,Novopokrovka,49.8425,36.5477,8.01,85,75,8.95,UA,2021-01-16 02:05:47
446,Tuma,55.148,40.5537,8.01,79,100,5.01,RU,2021-01-16 02:05:47
447,Gallup,35.5281,-108.7426,39.99,22,1,6.91,US,2021-01-16 02:05:47
448,Richards Bay,-28.783,32.0377,79.41,77,15,9.17,ZA,2021-01-16 02:05:47
449,La Ronge,55.1001,-105.2842,19.4,79,84,6.91,CA,2021-01-16 02:05:48
450,Ormstown,45.1334,-73.9992,33.01,86,100,8.05,CA,2021-01-16 02:05:48
451,Curuca,-0.7289,-47.8481,74.48,88,0,4.7,BR,2021-01-16 02:05:48
452,Half Moon Bay,37.4636,-122.4286,62.01,67,1,8.05,US,2021-01-16 02:03:39
453,Tezu,27.9167,96.1667,65.01,47,54,0.65,IN,2021-01-16 02:05:48
454,Dehloran,32.6941,47.2679,55.4,41,0,5.41,IR,2021-01-16 02:05:48
455,Las Vegas,36.175,-115.1372,60.8,20,1,3.44,US,2021-01-16 02:02:16
456,Alekseyevsk,57.8406,108.3492,-25.51,81,100,4.74,RU,2021-01-16 02:05:49
457,Naberera,-4.2,36.9333,61.05,98,44,1.03,TZ,2021-01-16 02:05:49
458,Dali,25.7,100.1833,47.91,57,100,1.59,CN,2021-01-16 02:05:49
459,Katherine,-14.4667,132.2667,89.6,58,100,6.91,AU,2021-01-16 02:05:49
460,Rodniki,57.1051,41.7305,9.23,95,100,10.83,RU,2021-01-16 02:05:50
461,Owando,-0.4819,15.8999,71.82,82,69,2.1,CG,2021-01-16 02:05:50
462,Wete,-5.0559,39.7294,76.96,87,33,6.73,TZ,2021-01-16 02:05:50
463,Road Town,18.4167,-64.6167,77.0,88,20,5.75,VG,2021-01-16 02:02:15
464,Kendari,-3.945,122.4989,82.26,79,100,2.62,ID,2021-01-16 02:05:50
465,Lingao,19.9103,109.6859,68.58,82,96,6.89,CN,2021-01-16 02:05:50
466,Mandla,22.6,80.3833,51.6,40,0,2.73,IN,2021-01-16 02:05:51
467,Walvis Bay,-22.9575,14.5053,71.01,82,63,1.14,NA,2021-01-16 02:05:51
468,Monrovia,6.3005,-10.7969,77.0,94,40,3.74,LR,2021-01-16 02:05:51
469,Phalodi,27.1333,72.3667,54.09,35,0,6.69,IN,2021-01-16 02:05:51
470,Foso,5.7012,-1.2866,73.83,91,12,2.82,GH,2021-01-16 02:05:51
471,Baracoa,20.3467,-74.4958,74.43,76,99,2.08,CU,2021-01-16 02:05:52
472,Izmir,38.4622,27.0923,32.0,93,0,4.81,TR,2021-01-16 02:05:52
473,Buchanan,5.8808,-10.0467,77.0,94,40,6.24,LR,2021-01-16 02:05:32
474,Ambon,-3.6954,128.1814,89.6,62,40,3.44,ID,2021-01-16 02:01:18
475,Kulhudhuffushi,6.6221,73.07,80.78,73,87,10.36,MV,2021-01-16 02:05:52
476,Talnakh,69.4865,88.3972,-34.51,73,0,6.85,RU,2021-01-16 02:05:53
477,Ketou,7.3633,2.5998,74.97,82,1,1.39,BJ,2021-01-16 02:05:53
478,Tazmalt,36.3868,4.3989,43.83,77,62,5.23,DZ,2021-01-16 02:05:53
479,Makakilo City,21.3469,-158.0858,82.4,54,75,12.66,US,2021-01-16 02:01:38
480,Concarneau,47.875,-3.9225,44.6,87,90,6.91,FR,2021-01-16 02:05:53
481,Rawson,-43.3002,-65.1023,61.77,70,99,23.67,AR,2021-01-16 02:05:53
482,Zhezkazgan,47.8043,67.7144,8.02,89,100,11.83,KZ,2021-01-16 02:05:54
483,Oulainen,64.2667,24.8,12.0,91,88,2.3,FI,2021-01-16 02:05:54
484,Kalmunai,7.4167,81.8167,77.83,84,48,5.55,LK,2021-01-16 02:05:54
485,Coruripe,-10.1256,-36.1756,76.48,80,39,9.89,BR,2021-01-16 02:05:54
486,Muroto,33.2833,134.15,55.4,82,75,5.75,JP,2021-01-16 02:05:54
487,Bayshore Gardens,27.4253,-82.5904,64.0,88,90,9.22,US,2021-01-16 02:05:54
488,Ostersund,63.1792,14.6357,17.6,93,49,5.75,SE,2021-01-16 02:05:55
489,Ahuimanu,21.4447,-157.8378,82.4,69,20,6.91,US,2021-01-16 02:05:55
490,Flinders,-34.5833,150.8552,75.0,39,0,4.0,AU,2021-01-16 02:05:55
491,Kroonstad,-27.6504,27.2349,62.87,91,26,4.07,ZA,2021-01-16 02:05:55
492,Butembo,0.15,29.2833,55.9,97,45,3.22,CD,2021-01-16 02:05:55
493,Brae,60.3964,-1.353,42.8,70,90,32.21,GB,2021-01-16 02:05:55
494,Ballina,-28.8667,153.5667,82.4,69,48,13.8,AU,2021-01-16 02:05:56
495,Alghero,40.5589,8.3181,50.0,81,75,8.05,IT,2021-01-16 02:05:56
496,Veinticinco De Mayo,-35.4323,-60.1727,69.01,63,55,3.4,AR,2021-01-16 02:05:56
497,Pafos,34.7667,32.4167,64.4,59,40,12.66,CY,2021-01-16 02:05:57
498,Ust-Kuyga,70.0167,135.6,-28.89,82,96,1.63,RU,2021-01-16 02:05:57
499,Pointe-Noire,-4.7761,11.8635,77.18,82,41,4.47,CG,2021-01-16 02:05:57
500,Prainha,-1.8,-53.48,78.64,68,31,4.85,BR,2021-01-16 02:05:57
501,Prabumulih,-3.45,104.25,79.95,84,95,2.62,ID,2021-01-16 02:05:57
502,Barra Patuca,15.8,-84.2833,76.86,86,70,4.83,HN,2021-01-16 02:05:57
503,Guangyuan,32.442,105.823,50.0,50,100,8.99,CN,2021-01-16 02:05:58
504,Kidal,18.4411,1.4078,63.64,22,72,13.47,ML,2021-01-16 02:05:58
505,Blenheim,-41.516,173.9528,82.0,55,0,5.01,NZ,2021-01-16 02:05:58
506,Bahia Blanca,-38.7196,-62.2724,78.01,25,0,8.86,AR,2021-01-16 02:05:58
507,Seoul,37.5683,126.9778,26.6,63,0,6.91,KR,2021-01-16 02:04:55
508,Hobyo,5.3505,48.5268,77.11,77,100,18.34,SO,2021-01-16 02:05:59
509,Bodden Town,19.2833,-81.25,79.0,83,20,3.44,KY,2021-01-16 02:05:59
510,Mogadishu,2.0371,45.3438,76.32,87,6,18.14,SO,2021-01-16 02:05:59
511,Ranong,9.9658,98.6348,77.0,88,40,2.3,TH,2021-01-16 02:05:59
512,Caravelas,-17.7125,-39.2481,75.52,90,100,6.96,BR,2021-01-16 02:05:59
513,Severo-Yeniseyskiy,60.3725,93.0408,-15.07,89,100,3.65,RU,2021-01-16 02:06:00
514,Coquimbo,-29.9533,-71.3436,59.0,88,0,5.75,CL,2021-01-16 02:06:00
515,Cartagena,10.3997,-75.5144,78.8,89,0,4.61,CO,2021-01-16 02:02:47
516,Dongsheng,39.8161,109.9776,7.21,81,41,12.48,CN,2021-01-16 02:06:00
517,Tolaga Bay,-38.3667,178.3,70.05,66,0,9.42,NZ,2021-01-16 02:06:00
518,Rio Brilhante,-21.8019,-54.5464,73.47,91,71,5.26,BR,2021-01-16 02:06:01
519,Lykhivka,48.6874,33.9228,9.3,94,26,10.25,UA,2021-01-16 02:06:01
520,Maniitsoq,65.4167,-52.9,17.78,84,5,4.72,GL,2021-01-16 02:06:01
521,Lerwick,60.1545,-1.1494,42.8,70,90,32.21,GB,2021-01-16 02:06:01
522,Blairmore,49.6,-114.4353,35.6,64,0,6.91,CA,2021-01-16 02:06:01
523,Kutahya,39.4242,29.9833,19.4,93,20,4.61,TR,2021-01-16 02:06:01
524,Gat,31.61,34.7642,51.01,80,0,1.01,IL,2021-01-16 02:06:02
525,Borgarnes,64.5383,-21.9206,39.2,87,90,8.05,IS,2021-01-16 02:06:02
526,Broken Hill,-31.95,141.4333,64.4,39,68,12.66,AU,2021-01-16 02:06:02
527,Miles City,46.4083,-105.8406,28.4,43,1,6.91,US,2021-01-16 02:04:45
528,Pontal Do Parana,-25.6533,-48.5128,66.0,82,54,24.0,BR,2021-01-16 02:01:50
529,Wolgast,54.05,13.7667,28.0,80,42,7.27,DE,2021-01-16 02:06:03
530,Dukat,62.55,155.55,-34.26,81,88,2.73,RU,2021-01-16 02:06:03
531,Chhatapur,26.2167,87.0167,54.59,64,0,5.12,IN,2021-01-16 02:06:03
532,Sovetskiy,61.3614,63.5842,-11.42,90,0,2.15,RU,2021-01-16 02:06:03
533,Sarakhs,36.5449,61.1577,49.96,43,0,8.93,IR,2021-01-16 02:06:03
